text,lemma,type,pos,BM_x,domain,posts,annotator_agreement,metaphoricity_percentage,related_MV,target_domain,BM_y,BM_hypernym,BM_def,CM,CM_def,curator_comment,BM_RAE,CM_RAE
,ayudado,,,,,,,,"ayudar, ayuda","7, 77, 22, 74",ayudar-02414710-v; ayudar-02547586-v,,"act as an assistant in a subordinate or supportive function: asistir, ayudar; give help or assistance; be of service: asistir, auxiliar, ayudar",ayudar-00082081-v; ayuda-00654885-n,"improve the condition of: auxilio, ayuda, ayudar; the work of providing treatment for or attending to someone or something: atención, ayuda, cuidado, cuidados, cura","duda, posts: 31, 39, 60, 80, 40, 62, 27",,
ayudado;ayudar,ayudar,uniword,VERB,None,None,,,,,,,,,,,,,
ayudarlo,ayudar él,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,,,,,,,,,
,baja,,,,,,,,"bajar la inflamación, bajar las defensas",,,,,,,mwe,,
bajado;baja;bajar,bajar,uniword,VERB,None,None,,,,"bajar, bajado, tener bajas las defensas",23,bajar-01976841-v,"travel.v.01, descend.v.01","to fall vertically: bajar, caer",bajar-00267855-v,make lower or quieter: bajar,,,
bajo;bajos,bajo,uniword,ADP,None,None,,,,,,,,,,,,,
bajones,bajón,uniword,NOUN,None,None,,,,bajón,3,bajar-01976841-v,"travel.v.01, descend.v.01","to fall vertically: bajar, caer",,,,,
barajar;barajando,barajar,uniword,VERB,None,None,,,,barajar posibilidades,"6, 51",barajar-01418667-v,"handle.v.04, manipulate.v.02, touch.v.01","mix so as to make a random order or arrangement: barajar, mezclar, revolver",contemplar-00703875-v,consider as a possibility: contemplar,,,u.c.StringArray(elements=['considerar las varias posibilidades o alternativas antes de tomar una decisión.'])
basadas,basado,uniword,ADJ,None,None,,,,,,,,,,,,,
,basar,,,,,,,,tratamiento basado en,62,base-03387016-n,"whole.n.02, structure.n.01, support.n.07, supporting_structure.n.01, physical_entity.n.01, object.n.01, entity.n.01, artifact.n.01","lowest support of a structure: base, cimentación, cimiento, fundación, fundamento, pie",basar-00636888-v,"use as a basis for; found on: basar, establecer, fundamentar, fundar, implantar, instaurar, instituir, sustentar",,,
batalla,batalla,uniword,NOUN,None,None,,,,batalla,"6, 2",batalla-01170962-n,"act.n.02, event.n.01, group_action.n.01, psychological_feature.n.01, conflict.n.01, abstraction.n.06, entity.n.01","the act of fighting; any contest or struggle: acción, batalla, brega, combate, lucha, pelea",batalla-00788973-n,"an energetic attempt to achieve something: batalla, esfuerzo, lucha, pugna, puja",,,
bendición,bendición,uniword,NOUN,None,None,,,,,,,,,,,,,
benigno,benigno,uniword,ADJ,None,None,,,,,12,,,,benigno-02594565-a,"not dangerous to health; not recurrent or progressive (especially of a tumor): benigna, benigno",,"u.c.StringArray(elements=['afable, benévolo, piadoso.'])",
bicho,bicho,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer']),,,,"bicho, vicho, Vicho, el bicho",11,bicho-01315980-n,"whole.n.02, physical_entity.n.01, animal.n.01, living_thing.n.01, object.n.01, pest.n.04, organism.n.01, entity.n.01","any of various small animals or insects that are pests; e.g. cockroaches or rats: alimaña, bicho, bichos, sabandija",cáncer-14239918-n,"any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream: carcinoma, cáncer",,,
bloques,bloque,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/remitir-01031256-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Curarse y recuperarse']),,,,,,,,,,,,,
bloqueada,bloqueado,uniword,ADJ,None,None,,,,,,,,,,,,,
bloqueamos,bloquear,uniword,VERB,None,None,,,,"bloquear, bloqueado, bloquear(se)",,,,,,,post 60,,
,bloques,,,,,,,,,6,bloque-02852523-n,"whole.n.02, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01",a solid piece of something (usually having flat rectangular sides): bloque,grupo-07951464-n,"a complex of concurrent things: conjunto, grupo, sindrome",,,u.c.StringArray(elements=['m. conjunto de cosas con alguna característica común.(rae)'])
,bola,,,,,,,,,"12, 11",bola-02778669-n,"whole.n.02, game_equipment.n.01, physical_entity.n.01, equipment.n.01, object.n.01, instrumentality.n.03, entity.n.01, artifact.n.01","round object that is hit or thrown or kicked in games: balón, bola, pelota",tumor-14235200-n,"an abnormal new mass of tissue that serves no purpose: neoplasia, neoplasma, tumor",,,
bolita,bolita,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor']),,,,,,,,,,,,,
borde,borde,uniword,NOUN,None,None,,,,,,,,,,,"duda, post 53",,
bruscas,brusca,uniword,ADJ,None,None,,,,,,,,,,,,,
,brusco,,,,,,,,brusco,72,brusco-01145151-a,,"extremely steep: abrupto, brusco, repentino, súbito",brusco-00640660-a,"marked by rude or peremptory shortness: brusca, brusco, cortante, seco",,,
brutal,brutal,uniword,ADJ,None,None,,,,,25,brutal-00269032-r,,"in a beastly manner: bestial, brutal",brutal-01263013-a,"(of persons or their actions) able or disposed to inflict pain or suffering: atroz, brutal, bárbaro, cruel, feroz, salvaje",,,
bucle,bucle,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"todo es incertidumbre y porcentajes de supervivencia, estadísticas, probabilidades... No es cuestión de optimismo, es cuestión de una situación real, por la que seguro pasan miles de personas y se ven atrapadas en un bucle""","9, 31, 29",bucle-05257737-n,"covering.n.01, natural_object.n.01, body_covering.n.01, whole.n.02, physical_entity.n.01, hair.n.01, object.n.01, entity.n.01","a strand or cluster of hair: bucle, caracol, chicho, mecha, onda, rizo, rulo, sortija, tirabuzón",desespero-07541923-n; recurrente-00592880-a,"the feeling that everything is wrong and nothing will turn out well: desesperación, desespero; recurring again and again: perenne, recurrente, repetido",,,u.c.StringArray(elements=['objeto cuya forma recuerda la del bucle (rae).'])
buenas noticias,buena,multiword,ADJ,None,None,,,,,,,,,,,,,
bulto,bulto,uniword,NOUN,"u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/bulto-05104421-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/bulto-08008017-n'])",None,,,,,12,bulto-05104421-n,"attribute.n.02, largeness.n.03, size.n.01, abstraction.n.06, entity.n.01, magnitude.n.01, property.n.02","an unwieldy largeness: bulto, volumen, voluminosidad",bulto-14234074-n,"(pathology) an abnormal proliferation of tissue (as in a tumor): bulto, hinchazón",,,
burbuja,burbuja,uniword,NOUN,None,None,,,,,36,burbuja-09229709-n,"attribute.n.02, globule.n.01, ball.n.03, abstraction.n.06, round_shape.n.01, sphere.n.05, entity.n.01, shape.n.02","a hollow globule of gas (e.g., air or carbon dioxide): burbuja, campanilla, pompa",soledad-04622415-n,a disposition toward being alone: soledad,,,u.c.StringArray(elements=['habitáculo hermético y aislado del exterior.'])
buscar;buscando;busca,buscar,uniword,VERB,None,None,,,,"buscar información, buscar consuelo, buscar testimonios",53,buscar-00648224-v,"investigate.v.01, analyze.v.01","inquire into: averiguar, buscar, explorar, indagar, inquirir, investigar",buscar-02530167-v,"make an effort or attempt: buscar, ensayar, intentar, pretender, probar, tratar",,,
ca.,ca,uniword,INTJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,,,,,,,,,
,ca.,,,,,,,,cáncer,11,,,,cáncer-14239918-n,"any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream: carcinoma, cáncer",eufemismo,,
,caer,,,,,,,,"caer, caída",23, caer-00342314-v,disappear.v.01,go as if by falling: caer,caer-00152887-v,"fall or diminish: caer, disminuir",,,
calvario,calvario,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros']),,,,,33,calvario-08796219-n,,"Gólgota, calvario",calvario-07287730-n,"a severe or trying experience: calvario, ordalía, sufrimiento, suplicio",,"u.c.StringArray(elements=['camino señalado con cruces o altares, que se recorre rezando en cada uno de ellos en memoria de los pasos de jesús hacia el monte calvario. (rae)'])",
cambiar,cambiar,uniword,VERB,None,None,,,,,,,,,,,,,
camino;camino.,camino,uniword,NOUN,None,None,,,,,2,camino-04564698-n,"whole.n.02, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01","any artifact consisting of a road or path affording passage from one place to another: camino, trayectoria, vía",proceso-05701363-n,"(psychology) the performance of some composite cognitive activity; an operation that affects mental contents: acto, proceso",,,
camino;camino.,camino,uniword,NOUN,None,None,,,,el camino por delante es incierto',"6, 52",incierto-02059381-a,,,,,mwe,,
campeona,campeona,uniword,NOUN,None,None,,,,,,,,,,,,,
,campeón,,,,,,,,,71,campeón-09906704-n,"whole.n.02, causal_agent.n.01, contestant.n.01, object.n.01, living_thing.n.01, rival.n.01, physical_entity.n.01, organism.n.01, entity.n.01, person.n.01",someone who has won first place in a competition: campeón,paciente-10405694-n,a person who requires medical care: paciente,,,
canales,canal,uniword,NOUN,None,None,,,,,,,,,,,,,
candidata,candidata,uniword,NOUN,None,None,,,,,,,,,,,,,
,candidato,,,,,,,,,71,candidato-09889691-n,"whole.n.02, leader.n.01, causal_agent.n.01, object.n.01, living_thing.n.01, physical_entity.n.01, organism.n.01, politician.n.02, entity.n.01, person.n.01","a politician who is running for public office: candidata, candidato, nominada, nominado",candidato-09890749-n,"someone who is considered for something (for an office or prize or honor etc.): aspirante, candidata, candidato",,,
capaz,capaz,uniword,ADJ,None,None,,,,el cerebro no es capaz de acumular',,capaz-00051045-a,,"having the requisite qualities or resources to meet a task: acertado, adecuada, adecuado, apropiado, apto, capaz, conveniente, idóneo, igual, indicado",,,mwe,,
captación,captación,uniword,NOUN,None,None,,,,,,,,,,,,,
,captar,,,,,,,,,83,captar-00588221-v,understand.v.01,"get the meaning of something: aferrar, aprehender, captar, comprender, entender",,,,,"u.c.StringArray(elements=['tr. recibir, recoger sonidos, imágenes, ondas, emisiones radiodifundidas. (rae)'])"
carga,carga,uniword,NOUN,None,None,,,,,35,cargar-01483131-v,"load.v.01, fill.v.01, change.v.01","load with a pack: cargar, empacar",carga-05832745-n,"an onerous or difficult concern: carga, peso, preocupación",,,
cargo,cargo,uniword,NOUN,None,None,,,,,3,cargar-01483131-v,"load.v.01, fill.v.01, change.v.01","load with a pack: cargar, empacar",cargar-00748084-v,"saddle with something disagreeable or disadvantageous: cargar, encargarse de, picar, pinchar, punzar",,,
casa,casa,uniword,PROPN,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad']),,,,es la segunda vez que el cáncer entra en mi casa',11,casa-02913152-n,"whole.n.02, structure.n.01, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01","a structure that has a roof and walls and stands more or less permanently in one place: casa, construcción, edificación, edificio, edificios, inmueble",cuerpo-05216365-n,"the entire structure of an organism (an animal, plant, or human being): cuerpo, estructura física, estructura orgánica",mwe,,
castigada,castigado,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/recuperar-02205887-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer']),,,,,"21, 23",castigar-02500144-v,punish.v.01,inflict severe punishment on: castigar,da%C3%B1ado-00679147-a,,,,
caída,caída,uniword,NOUN,None,None,,,,,,,,,,,,,
cedido,cedido,uniword,ADJ,None,None,,,,"ceder la piel', ",23,ceder-00435103-v,change.v.02,"end resistance, as under pressure or force: ceder, sucumbir",,,duda,,
centrada,centrado,uniword,ADJ,None,None,,,,,3,centrado-00330644-a,,concentrar-00722232-v,,,,,
cepa,cepa,uniword,VERB,None,None,,,,,12,tronco-14942762-n,"substance.n.01, part.n.01, entity.n.01, plant_material.n.01, material.n.01, wood.n.01, physical_entity.n.01, matter.n.03, abstraction.n.06, relation.n.01",,,,,"u.c.StringArray(elements=['parte del tronco de cualquier árbol o planta, que está dentro de tierra y unida a las raíces.'])","u.c.StringArray(elements=['grupo de organismos emparentados, como las bacterias, los hongos o los virus, cuya ascendencia común es conocida.'])"
cerrar.,cerrar,uniword,VERB,None,None,,,,cerrar una herida,6,cerrar-01345109-v,,"move so that an opening or passage is obstructed; make shut: cerrar, clausurar, tapar",,,,,
chilla,chillar,uniword,VERB,None,None,,,,chillar el pecho,23,chillar-00913065-v,utter.v.02,"utter a sudden loud cry: chillar, clamar, gritar, llamar, pregonar, vocear, vociferar",sibilancia-00836407-n,"breathing with a husky or whistling sound: estertor sibilante, resuello, sibilancia, silbido",,,
choque,choque,uniword,NOUN,None,None,,,,,3,choque-00126236-n,"hit.n.02, act.n.02, event.n.01, touch.n.05, psychological_feature.n.01, abstraction.n.06, entity.n.01","the act of colliding with something: castaña, choque, colisión",choquear-01783022-v,"strike with horror or terror: chocar, choquear, conmocionar",,,
claro,claro,uniword,ADJ,None,None,,,,estar o tener algo claro,"6, 51",,,,,,,,
claro,claro,uniword,ADJ,None,None,,,,"pese a que tengo claros los pasos que se vana realizar, no entiendo con claridad la situación'",53,claro-00269989-a,,,comprensible-00532892-a,,,,
claro,claro,uniword,ADJ,None,None,,,,claroscuro,38,claroscuro-03016056-n,"whole.n.02, representation.n.02, physical_entity.n.01, object.n.01, picture.n.01, entity.n.01, artifact.n.01, creation.n.02",,,,,,
claroscuros,claroscuro,uniword,ADJ,None,None,,,,,,,,,,,,,
cogió;coge,coger,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v']),None,,,,coger fuerzas,3,coger-01214265-v,,"get into one's hands, take physically: agarrar, asir, coger, tomar",,,,,
cogió;coge,coger,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v']),None,,,,coger a tiempo,"11, 5",coger-01214265-v,,"get into one's hands, take physically: agarrar, asir, coger, tomar",coger-00588888-v,"know and comprehend the nature or meaning of: coger, comprender, entender",,,
cola,cola,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/durar-02410175-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Muerte']),,,,,82,cola-02157557-n,"body_part.n.01, entity.n.01, part.n.03, physical_entity.n.01, thing.n.12, process.n.05",the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body: cola,cola-15268367-n,"the time of the last part of something: cola, final, restos",,,
combatir,combatir,uniword,VERB,None,None,,,,"combatir, combate: 76, 60",,,,,,,,,
como,como,uniword,SCONJ,None,None,,,,,,,,,,,,,
compartía;compartir;compartimos;compartir.,compartir,uniword,VERB,None,None,,,,,"81, 53",compartir-02295550-v,use.v.01,use jointly or in common: compartir,compartir-01063930-v,communicate: compartir,,,
compartirlo,compartir él,uniword,VERB,None,None,,,,,,,,,,,,,
compartirme,compartirmar,uniword,VERB,None,None,,,,,,,,,,,,,
compartomi,compartomi,uniword,ADJ,None,None,,,,,,,,,,,,,
completas,completo,uniword,ADJ,None,None,,,,respuestas completas,53,completo-00515380-a,,"constituting the full quantity or extent; complete: completo, entero, pleno, todo, total",,,,,
comprometido;comprometidos,comprometido,uniword,ADJ,None,None,,,,tener comprometido,5,comprometer-01036319-v,"affect.v.01, change.v.01",,,,duda BM,,
,compáñera de vida,,,,,,,,,,,,,,,MWE,,
compáñera de vida,compáñero,multiword,ADJ,None,None,,,,,,,,,,,,,
concretos;concreta,concreto,uniword,ADJ,None,None,,,,,,,,,,,,,
condición,condición,uniword,NOUN,None,None,,,,me adapté bastante bien a mi nueva condición',23,condición-06770875-n,"statement.n.01, message.n.02, communication.n.02, abstraction.n.06, entity.n.01",,efecto secundario-11415608-n,,,,
conectas,conectar,uniword,VERB,None,None,,,,,,,,,,,,,
conexión,conexión,uniword,NOUN,None,None,,,,,7,"conexi%C3%B3n-00145218-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/conexi%C3%B3n-03091374-n",,,conexi%C3%B3n-13792579-n,,,,
confió,confiar,uniword,VERB,None,None,,,,confiar en los médicos,,,,,,,duda post 60,,
conpartir,conpartir,uniword,VERB,"u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/destrozar-00292672-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/destrozar-00333758-v'])",u.c.StringArray(elements=['Emociones » Molestia (física o mental)']),,,,,,,,,,,,,
consigas,consigar,uniword,VERB,None,None,,,,,,,,,,,,,
constante,constante,uniword,ADJ,None,None,,,,ser constante,27,constante-00595299-a,,,,,,,
consumir;consume,consumir,uniword,VERB,None,None,,,,"consumir, consumir(se)",2,consumirse-00151689-v,"change_magnitude.v.01, change.v.02","decrease in size, extent, or range: consumirse, desmoronarse, disminuir, menguar, mermar, reducirse",consumirse-00241689-v,"wither, as with a loss of moisture: consumirse, debilitarse, encoger, languidecer, marchitar, marchitarse, mermar, mustiar, mustiarse",,,
cuenta,contar,uniword,VERB,None,None,,,,,,,,,,,,,
continuación,continuación,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,no met,,
control;controles,control,uniword,NOUN,None,None,,,,,,,,,,,,,
controlada;controlado,controlado,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"controlar, control, controlado","12, 28, 25, 49","controlar-02441022-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/controlar-02443049-v",,,estable-01754421-a,"continuing or enduring without marked change in status or condition or place: estable, fijo, permanente",,,
controlar,controlar,uniword,VERB,None,None,,,,"controlar, control, controlado","12, 28, 25, 50",controlar-00202569-v,"domesticate.v.02, change.v.01","make submissive, obedient, or useful: controlar, domar, domesticar, entrenar",controlar-02443049-v,"watch and direct: controlar, manejar, supervisar, vigilar",,,
controlar,controlar,uniword,VERB,None,None,,,,"controlar, control, controlado","12, 28, 25, 51",controlar-00202569-v,"domesticate.v.02, change.v.01","make submissive, obedient, or useful: controlar, domar, domesticar, entrenar",controlar-02533282-v,"make an examination or investigation: comprobar, constatar, controlar, examinar, investigar, verificar",,,
controlar,controlar,uniword,VERB,None,None,,,,"controlar, control, controlado","12, 28, 25, 52","controlar-00202569-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/controlar-02454939-v",,,paliar-00064095-v,"provide physical relief, as from pain: aliviar, apaciguar, mitigar, paliar, salvar, suavizar",,,
controlarlo,controlar él,uniword,VERB,None,None,,,,,,,,,,,,,
contundente,contundente,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,53,,,,contundente-01770392-a,"powerfully persuasive: contundente, convincente, irrefutable",,u.c.StringArray(elements=['dicho de un instrumento o de un acto: que produce contusión (rae)']),
convencerse,convencer él,uniword,VERB,None,None,,,,,,,,,,,,,
convive;convivir,convivir,uniword,VERB,None,None,,,,,"2, 11",,,,,,,u.c.StringArray(elements=['vivir en compañía de otro u otros.']),u.c.StringArray(elements=['coexistir en armonía'])
coraje,coraje,uniword,PROPN,None,None,,,,,3,coraje-04857083-n,"attribute.n.02, trait.n.01, abstraction.n.06, spirit.n.03, character.n.03, entity.n.01","a quality of spirit that enables you to face danger or pain without showing fear: coraje, valentía, valor",coraje-01211019-n,"the act of giving hope or support to someone: aliento, coraje, fuerza, valor, ánimo",,,
corazón,corazón,uniword,NOUN,None,None,,,,,36,coraz%C3%B3n-05388805-n,"internal_organ.n.01, body_part.n.01, part.n.03, organ.n.01, physical_entity.n.01, thing.n.12, entity.n.01",,coraz%C3%B3n-05919263-n,,,,
cosas;cosa,cosa,uniword,NOUN,None,None,"41, 19",,,,,,,,,,,,
costaba;cuesta,costar,uniword,VERB,None,None,,,,,"2, 31, 29",costar-02702508-v,be.v.01,"be priced at: costar, valer",costar-02628961-v,"require to lose, suffer, or sacrifice: costar",,,
creciendo,crecer,uniword,VERB,None,None,,,,crecer (el cáncer),,crecer-00231557-v,"increase.v.01, grow.v.02, change_magnitude.v.01, develop.v.10, change.v.02","increase in size by natural process: crecer, cultivar",carcinogénesis-80001130-n,,duda,,
crecimiento,crecimiento,uniword,NOUN,None,None,,,,,,,,,,,,,
cruza,cruzar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer']),,,,,11,cruzar-01912159-v,"pass.v.01, travel.v.01","travel across or pass over: atravesar, cruzar",cruzarse-01913997-v,meet and pass: cruzarse,,,
cruzarnos,cruzar yo,uniword,VERB,None,None,,,,,,,,,,,,,
cuadra,cuadra,uniword,NOUN,None,None,,,,,,,,,,,,,
,cuadrar,,,,,,,,no cuadrar (los resutados),5,cuadrar-00145448-v,"shape.v.03, change.v.01",make square: cuadrar,tener sentido-02619612-v,"ser lógico, tener sentido",mwe,,
cuadro,cuadro,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,cuadro de vértigo,23,cuadro-03876519-n,"art.n.01, whole.n.02, physical_entity.n.01, object.n.01, entity.n.01, graphic_art.n.01, artifact.n.01, creation.n.02","graphic art consisting of an artistic composition made by applying paints to a surface: cuadro, imagen, lienzo, pintado, pintura",,,,,
cubran,cubran,uniword,VERB,None,None,,,,,,,,,,,,,
cubriendo;cubrir,cubrir,uniword,VERB,None,None,,,,cubrir necesidades básicas,27,cubrir-02147109-v,hide.v.01,"(no definition): cubrir, esconder, ocultar",,,,,
,cuello,,,,,,,,cuello uterino,,,,,,,mwe,,
,culpa,,,,,,,,por culpa de la enfermedad,"2, 21, 11",culpa-13990675-n,"attribute.n.02, condition.n.01, state.n.02, abstraction.n.06, entity.n.01","the state of having committed an offense: culpa, culpabilidad",,,mwe,,u.c.StringArray(elements=['hecho de ser causante de algo (rae)'])
culpa,culpar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/dar-01629000-v']),None,,,,,,,,,,,,,
círculo,círculo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer']),,,,,75,c%C3%ADrculo-13873502-n,"figure.n.06, attribute.n.02, ellipse.n.01, plane_figure.n.01, abstraction.n.06, entity.n.01, shape.n.02, conic_section.n.01",,c%C3%ADrculo-08240169-n,,,,
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado,dar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"dar tos (ataque de tos),  dar pasos,  dar enfermedad, dar bajón, dar visibilidad","3, 77, 23",dar-01629000-v,produce.v.02,"give or supply: dar, generar, producir",dar-00108604-v,proffer (a body part): dar,,,
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado,dar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"dar gracias, dar luz,  dar descanso, dar crédito, dar por perdido, dar por vencido","3, 77, 24",dar-01629000-v,produce.v.02,"give or supply: dar, generar, producir",dar-00888009-v,offer in good faith: dar,,,
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado,dar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"dar información, dar noticias, dar oportunidad, dar opinión, dar resultados,  dar cita, dar el alta, dar revisión, dar seguimiento, dar negativo, dar vacaciones, darse cuenta, dar(le) vueltas a algo","3, 77, 25",dar-01629000-v,produce.v.02,"give or supply: dar, generar, producir",dar-01060494-v,"convey, as of a compliment, regards, attention, etc.; bestow: dar, prestar",,,
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado,dar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"dar alegría, dar tranquilidad, dar largas, dar miedo, dar amor, dar cariño, dar rabia, dar pánico, dar fuerzas, dar (palabras de) ánimo, dar ánimos, dar esperanzas, dar pánico, dar tregua, dar con","3, 77, 26",dar-01629000-v,produce.v.02,"give or supply: dar, generar, producir",dar-02309165-v,"give or convey physically: aplicar, dar",,,
darles;darle,dar él,uniword,VERB,None,None,,,,,,,,,,,,,
daros,daros,uniword,VERB,None,None,,,,,,,,,,,,,
darte,darte,uniword,VERB,None,None,,,,,,,,,,,,,
dcaer,dcaer,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,,,,,,,,,
debilidad,debilidad,uniword,NOUN,"u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/encontrar-01313923-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/encontrar-02285629-v'])","u.c.StringArray(elements=['Diagnóstico » Prognosis', 'Diagnóstico » Recibir informacion'])",,,,,,,,,,,,,
debilitado,debilitado,uniword,ADJ,None,None,,,,,,,,,,,,,
,decaer,,,,,,,,"decaer, decaído",34,decaer-02039876-v,"travel.v.01, drop.v.02, descend.v.01","go down: decaer, decrecer, disminuir",decaer-00203866-v,"grow worse: agravar, decaer, declinar, empeorar",,,"u.c.StringArray(elements=['dicho de una persona o de una cosa: ir a menos, perder alguna parte de las condiciones o propiedades que constituían su fuerza, bondad, importancia o valor.'])"
decaido,decaido,uniword,ADJ,None,None,,,,,,,,,,,,,
decantado,decantado,uniword,ADJ,None,None,,,,,51,decantar-02070296-v,"pour.v.01, move.v.02","pour out: decantar, escanciar, servir, verter","decantar-00674607-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/decantar-00679389-v",,,,
declinar,declinar,uniword,VERB,None,None,,,,declinar oportunidades,,,,,,,duda,,
declive,declive,uniword,NOUN,None,None,,,,declive de salud,2,declive-09265620-n,"geological_formation.n.01, object.n.01, physical_entity.n.01, entity.n.01, slope.n.01",empeorar-00268165-v,,,,,
defendiera,defender,uniword,VERB,None,None,,,,,,,,,,,,,
dejan;dejado;dejaron;dejo;dejé;dejar;dejaba,dejar,uniword,VERB,None,None,,,,"dejar el tratamiento, dejar de pensar, dejar vivir, dejar de fumar, dejar de tener, dejar (algo) atrás, dejar pasar el tiempo, dejar de buscar, dejar de hablar, dejar tocado, dejar testimonio, dejar helado, dejar frío, dejar echo polvo, dejar en paz","6, 3",dejar-02009433-v,,,interrumpir-00362348-v,,,,
dejarme,dejar yo,uniword,VERB,None,None,,,,,,,,,,,,,
dejarlo,dejar él,uniword,VERB,None,None,,,,,,,,,,,,,
dejarte,dejarte,uniword,VERB,None,None,,,,,,,,,,,,,
dejaré,dejaré,uniword,VERB,None,None,,,,,,,,,,,,,
delicado,delicado,uniword,ADJ,None,None,,,,,23,delicado-00709215-a,,,enfermo-02541302-a,,,"u.c.StringArray(elements=['fino, atento, suave, tierno.'])","u.c.StringArray(elements=['difícil, expuesto a contingencias'])"
