text	related_MV	lemma	type	pos	TD	TD_add	BM	BM_def	BM_RAE	BM_additional	BM_hypernym	CM	CM_def	CM_RAE	MWE_Source
basadas	tratamiento basado en	basado	uniword	ADJ	62	None	base-03387016-n	lowest support of a structure: base, cimentación, cimiento, fundación, fundamento, pie		None	whole.n.02, structure.n.01, support.n.07, supporting_structure.n.01, physical_entity.n.01, object.n.01, entity.n.01, artifact.n.01	basar-00636888-v	use as a basis for; found on: basar, establecer, fundamentar, fundar, implantar, instaurar, instituir, sustentar		
batalla	batalla	batalla	uniword	NOUN	6, 2	None	batalla-01170962-n	the act of fighting; any contest or struggle: acción, batalla, brega, combate, lucha, pelea		None	act.n.02, event.n.01, group_action.n.01, psychological_feature.n.01, conflict.n.01, abstraction.n.06, entity.n.01	batalla-00788973-n	an energetic attempt to achieve something: batalla, esfuerzo, lucha, pugna, puja		
bendición		bendición	uniword	NOUN		None				None					
benigno		benigno	uniword	ADJ	12	None			u.c.StringArray(elements=['afable, benévolo, piadoso.'])	None		benigno-02594565-a	not dangerous to health; not recurrent or progressive (especially of a tumor): benigna, benigno		
bicho	bicho, vicho, Vicho, el bicho	bicho	uniword	PROPN	11	u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])	bicho-01315980-n	any of various small animals or insects that are pests; e.g. cockroaches or rats: alimaña, bicho, bichos, sabandija		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n'])	whole.n.02, physical_entity.n.01, animal.n.01, living_thing.n.01, object.n.01, pest.n.04, organism.n.01, entity.n.01	cáncer-14239918-n	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream: carcinoma, cáncer		
bloques		bloque	uniword	NOUN		u.c.StringArray(elements=['Estar enfermo con cáncer » Curarse y recuperarse'])				u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/remitir-01031256-v'])					
bloqueada		bloqueado	uniword	ADJ		None				None					
bloqueamos	bloquear, bloqueado, bloquear(se)	bloquear	uniword	VERB	6	None	bloque-02852523-n	a solid piece of something (usually having flat rectangular sides): bloque		None	whole.n.02, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01	grupo-07951464-n	a complex of concurrent things: conjunto, grupo, sindrome	u.c.StringArray(elements=['m. conjunto de cosas con alguna característica común.(rae)'])	
bolita		bola	uniword	NOUN	12, 11	u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])	bola-02778669-n	round object that is hit or thrown or kicked in games: balón, bola, pelota		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v'])	whole.n.02, game_equipment.n.01, physical_entity.n.01, equipment.n.01, object.n.01, instrumentality.n.03, entity.n.01, artifact.n.01	tumor-14235200-n	an abnormal new mass of tissue that serves no purpose: neoplasia, neoplasma, tumor		
borde		borde	uniword	NOUN		None				None					
bruscas	brusco	brusca	uniword	ADJ	72	None	brusco-01145151-a	extremely steep: abrupto, brusco, repentino, súbito		None		brusco-00640660-a	marked by rude or peremptory shortness: brusca, brusco, cortante, seco		
brutal		brutal	uniword	ADJ	25	None	brutal-00269032-r	in a beastly manner: bestial, brutal		None		brutal-01263013-a	(of persons or their actions) able or disposed to inflict pain or suffering: atroz, brutal, bárbaro, cruel, feroz, salvaje		
bucle	todo es incertidumbre y porcentajes de supervivencia, estadísticas, probabilidades... No es cuestión de optimismo, es cuestión de una situación real, por la que seguro pasan miles de personas y se ven atrapadas en un bucle"	bucle	uniword	NOUN	9, 31, 29	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	bucle-05257737-n	a strand or cluster of hair: bucle, caracol, chicho, mecha, onda, rizo, rulo, sortija, tirabuzón		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a'])	covering.n.01, natural_object.n.01, body_covering.n.01, whole.n.02, physical_entity.n.01, hair.n.01, object.n.01, entity.n.01	desespero-07541923-n; recurrente-00592880-a	the feeling that everything is wrong and nothing will turn out well: desesperación, desespero; recurring again and again: perenne, recurrente, repetido	u.c.StringArray(elements=['objeto cuya forma recuerda la del bucle (rae).'])	
bulto		bulto	uniword	NOUN	12	None	bulto-05104421-n	an unwieldy largeness: bulto, volumen, voluminosidad		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/bulto-05104421-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/bulto-08008017-n'])	attribute.n.02, largeness.n.03, size.n.01, abstraction.n.06, entity.n.01, magnitude.n.01, property.n.02	bulto-14234074-n	(pathology) an abnormal proliferation of tissue (as in a tumor): bulto, hinchazón		
burbuja		burbuja	uniword	NOUN	36	None	burbuja-09229709-n	a hollow globule of gas (e.g., air or carbon dioxide): burbuja, campanilla, pompa		None	attribute.n.02, globule.n.01, ball.n.03, abstraction.n.06, round_shape.n.01, sphere.n.05, entity.n.01, shape.n.02	soledad-04622415-n	a disposition toward being alone: soledad	u.c.StringArray(elements=['habitáculo hermético y aislado del exterior.'])	
buscar;buscando;busca	buscar información, buscar consuelo, buscar testimonios	buscar	uniword	VERB	53	None	buscar-00648224-v	inquire into: averiguar, buscar, explorar, indagar, inquirir, investigar		None	investigate.v.01, analyze.v.01	buscar-02530167-v	make an effort or attempt: buscar, ensayar, intentar, pretender, probar, tratar		
ca.	cáncer	ca	uniword	NOUN	11					u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])		cáncer-14239918-n	any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream: carcinoma, cáncer		
cayó	caer, caída	caer	uniword	VERB	23		caer-00342314-v	go as if by falling: caer			disappear.v.01	caer-00152887-v	fall or diminish: caer, disminuir		
calvario		calvario	uniword	NOUN	33	u.c.StringArray(elements=['Emociones » Otros'])	calvario-08796219-n	Gólgota, calvario	u.c.StringArray(elements=['camino señalado con cruces o altares, que se recorre rezando en cada uno de ellos en memoria de los pasos de jesús hacia el monte calvario. (rae)'])	u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n'])		calvario-07287730-n	a severe or trying experience: calvario, ordalía, sufrimiento, suplicio		
cambiar		cambiar	uniword	VERB		None				None					
camino;camino.		camino	uniword	NOUN	2	None	camino-04564698-n	any artifact consisting of a road or path affording passage from one place to another: camino, trayectoria, vía		None	whole.n.02, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01	proceso-05701363-n	(psychology) the performance of some composite cognitive activity; an operation that affects mental contents: acto, proceso		
camino;camino.	el camino por delante es incierto'	camino	uniword	NOUN	6, 52	None	incierto-02059381-a			None					
campeona		campeón	uniword	NOUN	71	None	campeón-09906704-n	someone who has won first place in a competition: campeón		None	whole.n.02, causal_agent.n.01, contestant.n.01, object.n.01, living_thing.n.01, rival.n.01, physical_entity.n.01, organism.n.01, entity.n.01, person.n.01	paciente-10405694-n	a person who requires medical care: paciente		
canales		canal	uniword	NOUN		None				None					
candidata		candidata	uniword	NOUN	71	None	candidato-09889691-n	a politician who is running for public office: candidata, candidato, nominada, nominado		None	whole.n.02, leader.n.01, causal_agent.n.01, object.n.01, living_thing.n.01, physical_entity.n.01, organism.n.01, politician.n.02, entity.n.01, person.n.01	candidato-09890749-n	someone who is considered for something (for an office or prize or honor etc.): aspirante, candidata, candidato		
capaz	el cerebro no es capaz de acumular'	capaz	uniword	ADJ		None	capaz-00051045-a	having the requisite qualities or resources to meet a task: acertado, adecuada, adecuado, apropiado, apto, capaz, conveniente, idóneo, igual, indicado		None					
captación		captación	uniword	NOUN	83	None	captar-00588221-v	get the meaning of something: aferrar, aprehender, captar, comprender, entender		None	understand.v.01			u.c.StringArray(elements=['tr. recibir, recoger sonidos, imágenes, ondas, emisiones radiodifundidas. (rae)'])	
carga		carga	uniword	NOUN	35	None	cargar-01483131-v	load with a pack: cargar, empacar		None	load.v.01, fill.v.01, change.v.01	carga-05832745-n	an onerous or difficult concern: carga, peso, preocupación		
cargo		cargo	uniword	NOUN	3	None	cargar-01483131-v	load with a pack: cargar, empacar		None	load.v.01, fill.v.01, change.v.01	cargar-00748084-v	saddle with something disagreeable or disadvantageous: cargar, encargarse de, picar, pinchar, punzar		
casa	es la segunda vez que el cáncer entra en mi casa'	casa	uniword	PROPN	11	u.c.StringArray(elements=['Cancer » Cáncer como entidad'])	casa-02913152-n	a structure that has a roof and walls and stands more or less permanently in one place: casa, construcción, edificación, edificio, edificios, inmueble		None	whole.n.02, structure.n.01, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01	cuerpo-05216365-n	the entire structure of an organism (an animal, plant, or human being): cuerpo, estructura física, estructura orgánica		
castigada		castigado	uniword	ADJ	21, 23	u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])	castigar-02500144-v	inflict severe punishment on: castigar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/recuperar-02205887-v'])	punish.v.01	da%C3%B1ado-00679147-a			
caída		caída	uniword	NOUN		None				None					
cedido	ceder la piel', 	cedido	uniword	ADJ	23	None	ceder-00435103-v	end resistance, as under pressure or force: ceder, sucumbir		None	change.v.02				
centrada		centrado	uniword	ADJ	3	None	centrado-00330644-a	concentrar-00722232-v		None					
cepa		cepa	uniword	VERB	12	None	tronco-14942762-n		u.c.StringArray(elements=['parte del tronco de cualquier árbol o planta, que está dentro de tierra y unida a las raíces.'])	None	substance.n.01, part.n.01, entity.n.01, plant_material.n.01, material.n.01, wood.n.01, physical_entity.n.01, matter.n.03, abstraction.n.06, relation.n.01			u.c.StringArray(elements=['grupo de organismos emparentados, como las bacterias, los hongos o los virus, cuya ascendencia común es conocida.'])	
cerrar.	cerrar una herida	cerrar	uniword	VERB	6	None	cerrar-01345109-v	move so that an opening or passage is obstructed; make shut: cerrar, clausurar, tapar		None					
chilla	chillar el pecho	chillar	uniword	VERB	23	None	chillar-00913065-v	utter a sudden loud cry: chillar, clamar, gritar, llamar, pregonar, vocear, vociferar		None	utter.v.02	sibilancia-00836407-n	breathing with a husky or whistling sound: estertor sibilante, resuello, sibilancia, silbido		
choque		choque	uniword	NOUN	3	None	choque-00126236-n	the act of colliding with something: castaña, choque, colisión		None	hit.n.02, act.n.02, event.n.01, touch.n.05, psychological_feature.n.01, abstraction.n.06, entity.n.01	choquear-01783022-v	strike with horror or terror: chocar, choquear, conmocionar		
claro	estar o tener algo claro	claro	uniword	ADJ	6, 51	None				None					
claro	pese a que tengo claros los pasos que se vana realizar, no entiendo con claridad la situación'	claro	uniword	ADJ	53	None	claro-00269989-a			None		comprensible-00532892-a			
claro	claroscuro	claro	uniword	ADJ	38	None	claroscuro-03016056-n			None	whole.n.02, representation.n.02, physical_entity.n.01, object.n.01, picture.n.01, entity.n.01, artifact.n.01, creation.n.02				
claroscuros		claroscuro	uniword	ADJ		None				None					
cogió;coge	coger fuerzas	coger	uniword	VERB	3	None	coger-01214265-v	get into one's hands, take physically: agarrar, asir, coger, tomar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v'])					
cogió;coge	coger a tiempo	coger	uniword	VERB	11, 5	None	coger-01214265-v	get into one's hands, take physically: agarrar, asir, coger, tomar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v'])		coger-00588888-v	know and comprehend the nature or meaning of: coger, comprender, entender		
cola		cola	uniword	PROPN	82	u.c.StringArray(elements=['Estar enfermo con cáncer » Muerte'])	cola-02157557-n	the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body: cola		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/durar-02410175-v'])	body_part.n.01, entity.n.01, part.n.03, physical_entity.n.01, thing.n.12, process.n.05	cola-15268367-n	the time of the last part of something: cola, final, restos		
combatir	combatir, combate: 76, 60	combatir	uniword	VERB		None				None					
compartía;compartir;compartimos;compartir.		compartir	uniword	VERB	81, 53	None	compartir-02295550-v	use jointly or in common: compartir		None	use.v.01	compartir-01063930-v	communicate: compartir		
completas	respuestas completas	completo	uniword	ADJ	53	None	completo-00515380-a	constituting the full quantity or extent; complete: completo, entero, pleno, todo, total		None					
comprometido;comprometidos	tener comprometido	comprometido	uniword	ADJ	5	None	comprometer-01036319-v			None	affect.v.01, change.v.01				
concretos;concreta		concreto	uniword	ADJ		None				None					
condición	me adapté bastante bien a mi nueva condición'	condición	uniword	NOUN	23	None	condición-06770875-n			None	statement.n.01, message.n.02, communication.n.02, abstraction.n.06, entity.n.01	efecto secundario-11415608-n			
conectas		conectar	uniword	VERB	7	None	conexi%C3%B3n-00145218-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/conexi%C3%B3n-03091374-n			None		conexi%C3%B3n-13792579-n			
conexión		conexión	uniword	NOUN	7	None	conexi%C3%B3n-00145218-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/conexi%C3%B3n-03091374-n			None		conexi%C3%B3n-13792579-n			
confió	confiar en los médicos	confiar	uniword	VERB		None				None					
consigas		conseguir	uniword	VERB		None				None					
constante	ser constante	constante	uniword	ADJ	27	None	constante-00595299-a			None					
consumir;consume	consumir, consumir(se)	consumir	uniword	VERB	2	None	consumirse-00151689-v	decrease in size, extent, or range: consumirse, desmoronarse, disminuir, menguar, mermar, reducirse		None	change_magnitude.v.01, change.v.02	consumirse-00241689-v	wither, as with a loss of moisture: consumirse, debilitarse, encoger, languidecer, marchitar, marchitarse, mermar, mustiar, mustiarse		
cuenta		contar	uniword	VERB		None				None					
continuación		continuación	uniword	NOUN		u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])				None					
controlada;controlado	controlar, control, controlado	controlado	uniword	ADJ	12, 28, 25, 49	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	controlar-02441022-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/controlar-02443049-v			None		estable-01754421-a	continuing or enduring without marked change in status or condition or place: estable, fijo, permanente		
controlar	controlar, control, controlado	controlar	uniword	VERB	12, 28, 25, 50	None	controlar-00202569-v	make submissive, obedient, or useful: controlar, domar, domesticar, entrenar		None	domesticate.v.02, change.v.01	controlar-02443049-v	watch and direct: controlar, manejar, supervisar, vigilar		
controlar	controlar, control, controlado	controlar	uniword	VERB	12, 28, 25, 51	None	controlar-00202569-v	make submissive, obedient, or useful: controlar, domar, domesticar, entrenar		None	domesticate.v.02, change.v.01	controlar-02533282-v	make an examination or investigation: comprobar, constatar, controlar, examinar, investigar, verificar		
controlar	controlar, control, controlado	controlar	uniword	VERB	12, 28, 25, 52	None	controlar-00202569-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/controlar-02454939-v			None		paliar-00064095-v	provide physical relief, as from pain: aliviar, apaciguar, mitigar, paliar, salvar, suavizar		
contundente		contundente	uniword	ADJ	53	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])			u.c.StringArray(elements=['dicho de un instrumento o de un acto: que produce contusión (rae)'])	u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a'])		contundente-01770392-a	powerfully persuasive: contundente, convincente, irrefutable		
convencerse		convencer él	uniword	VERB		None				None					
convive;convivir		convivir	uniword	VERB	2, 11	None			u.c.StringArray(elements=['vivir en compañía de otro u otros.'])	None				u.c.StringArray(elements=['coexistir en armonía'])	
coraje		coraje	uniword	PROPN	3	None	coraje-04857083-n	a quality of spirit that enables you to face danger or pain without showing fear: coraje, valentía, valor		None	attribute.n.02, trait.n.01, abstraction.n.06, spirit.n.03, character.n.03, entity.n.01	coraje-01211019-n	the act of giving hope or support to someone: aliento, coraje, fuerza, valor, ánimo		
corazón		corazón	uniword	NOUN	36	None	coraz%C3%B3n-05388805-n			None	internal_organ.n.01, body_part.n.01, part.n.03, organ.n.01, physical_entity.n.01, thing.n.12, entity.n.01	coraz%C3%B3n-05919263-n			
cosas;cosa		cosa	uniword	NOUN		None				None					
costaba;cuesta		costar	uniword	VERB	2, 31, 29	None	costar-02702508-v	be priced at: costar, valer		None	be.v.01	costar-02628961-v	require to lose, suffer, or sacrifice: costar		
creciendo	crecer (el cáncer)	crecer	uniword	VERB		None	crecer-00231557-v	increase in size by natural process: crecer, cultivar		None	increase.v.01, grow.v.02, change_magnitude.v.01, develop.v.10, change.v.02	carcinogénesis-80001130-n			
crecimiento		crecimiento	uniword	NOUN		None	crecer-00231557-v	increase in size by natural process: crecer, cultivar		None	increase.v.01, grow.v.02, change_magnitude.v.01, develop.v.10, change.v.02	carcinogénesis-80001130-n			
cruza		cruzar	uniword	VERB	11	u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])	cruzar-01912159-v	travel across or pass over: atravesar, cruzar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n'])	pass.v.01, travel.v.01	cruzarse-01913997-v	meet and pass: cruzarse		
cuadra	no cuadrar (los resutados)	cuadrar	uniword	VERB	5	None	cuadrar-00145448-v	make square: cuadrar		None	shape.v.03, change.v.01	tener sentido-02619612-v	ser lógico, tener sentido		
cuadro	cuadro de vértigo	cuadro	uniword	NOUN	23	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	cuadro-03876519-n	graphic art consisting of an artistic composition made by applying paints to a surface: cuadro, imagen, lienzo, pintado, pintura		None	art.n.01, whole.n.02, physical_entity.n.01, object.n.01, entity.n.01, graphic_art.n.01, artifact.n.01, creation.n.02				
cubran		cubran	uniword	VERB		None				None					
cubriendo;cubrir	cubrir necesidades básicas	cubrir	uniword	VERB	27	None	cubrir-02147109-v	(no definition): cubrir, esconder, ocultar		None	hide.v.01				
culpa	por culpa de la enfermedad	culpar	uniword	VERB	2, 21, 11	None	culpa-13990675-n	the state of having committed an offense: culpa, culpabilidad		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/dar-01629000-v'])	attribute.n.02, condition.n.01, state.n.02, abstraction.n.06, entity.n.01			u.c.StringArray(elements=['hecho de ser causante de algo (rae)'])	
círculo		círculo	uniword	NOUN	75	u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])	c%C3%ADrculo-13873502-n			u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n'])	figure.n.06, attribute.n.02, ellipse.n.01, plane_figure.n.01, abstraction.n.06, entity.n.01, shape.n.02, conic_section.n.01	c%C3%ADrculo-08240169-n			
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado	dar tos (ataque de tos),  dar pasos,  dar enfermedad, dar bajón, dar visibilidad	dar	uniword	VERB	3, 77, 23	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	dar-01629000-v	give or supply: dar, generar, producir		None	produce.v.02	dar-00108604-v	proffer (a body part): dar		
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado	dar gracias, dar luz,  dar descanso, dar crédito, dar por perdido, dar por vencido	dar	uniword	VERB	3, 77, 24	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	dar-01629000-v	give or supply: dar, generar, producir		None	produce.v.02	dar-00888009-v	offer in good faith: dar		
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado	dar información, dar noticias, dar oportunidad, dar opinión, dar resultados,  dar cita, dar el alta, dar revisión, dar seguimiento, dar negativo, dar vacaciones, darse cuenta, dar(le) vueltas a algo	dar	uniword	VERB	3, 77, 25	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	dar-01629000-v	give or supply: dar, generar, producir		None	produce.v.02	dar-01060494-v	convey, as of a compliment, regards, attention, etc.; bestow: dar, prestar		
demos;dieron;daban;di;da;dando;dar;dan;das;dio;dado	dar alegría, dar tranquilidad, dar largas, dar miedo, dar amor, dar cariño, dar rabia, dar pánico, dar fuerzas, dar (palabras de) ánimo, dar ánimos, dar esperanzas, dar pánico, dar tregua, dar con	dar	uniword	VERB	3, 77, 26	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	dar-01629000-v	give or supply: dar, generar, producir		None	produce.v.02	dar-02309165-v	give or convey physically: aplicar, dar		
decaer	decaer, decaído	decaer	uniword	VERB	34	u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])	decaer-02039876-v	go down: decaer, decrecer, disminuir		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])	travel.v.01, drop.v.02, descend.v.01	decaer-00203866-v	grow worse: agravar, decaer, declinar, empeorar	u.c.StringArray(elements=['dicho de una persona o de una cosa: ir a menos, perder alguna parte de las condiciones o propiedades que constituían su fuerza, bondad, importancia o valor.'])	
debilidad		debilidad	uniword	NOUN		u.c.StringArray(elements=['Diagnóstico » Prognosis', 'Diagnóstico » Recibir informacion'])				u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/encontrar-01313923-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/encontrar-02285629-v'])					
debilitado		debilitado	uniword	ADJ		None				None					
decaido	decaer, decaído	decaido	uniword	ADJ	34	None	decaer-02039876-v	go down: decaer, decrecer, disminuir		None	travel.v.01, drop.v.02, descend.v.01	decaer-00203866-v	grow worse: agravar, decaer, declinar, empeorar	u.c.StringArray(elements=['dicho de una persona o de una cosa: ir a menos, perder alguna parte de las condiciones o propiedades que constituían su fuerza, bondad, importancia o valor.'])	
decantado		decantado	uniword	ADJ	51	None	decantar-02070296-v	pour out: decantar, escanciar, servir, verter		None	pour.v.01, move.v.02	decantar-00674607-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/decantar-00679389-v			
declinar	declinar oportunidades	declinar	uniword	VERB		None				None					
declive	declive de salud	declive	uniword	NOUN	2	None	declive-09265620-n	empeorar-00268165-v		None	geological_formation.n.01, object.n.01, physical_entity.n.01, entity.n.01, slope.n.01				
defendiera		defender	uniword	VERB		None				None					
dejan;dejado;dejaron;dejo;dejé;dejar;dejaba	dejar el tratamiento, dejar de pensar, dejar vivir, dejar de fumar, dejar de tener, dejar (algo) atrás, dejar pasar el tiempo, dejar de buscar, dejar de hablar, dejar tocado, dejar testimonio, dejar helado, dejar frío, dejar echo polvo, dejar en paz	dejar	uniword	VERB	6, 3	None	dejar-02009433-v			None		interrumpir-00362348-v			
delicado		delicado	uniword	ADJ	23	None	delicado-00709215-a		u.c.StringArray(elements=['fino, atento, suave, tierno.'])	None		enfermo-02541302-a		u.c.StringArray(elements=['difícil, expuesto a contingencias'])	
delirio		delirio	uniword	ADJ	2	u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])	delirio-14387202-n	a usually brief state of excitement and mental confusion often accompanied by hallucinations: delirio, delirium, delírium		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])	physical_condition.n.01, attribute.n.02, condition.n.01, state.n.02, mental_disorder.n.01, disorder.n.01, abstraction.n.06, entity.n.01	delirio-14391876-n	state of violent mental agitation: delirio, frenesí, histeria, histerismo, locura, manía		
demoledor	resultado demoledor	demoledor	uniword	ADJ		None				None					
dependen	depender algo de alguien	depender	uniword	VERB		None				None					
depresión		depresión	uniword	NOUN		None				None					
derivan;deriva	derivar a urgencias	derivar	uniword	VERB	83	None				None		mandar-01031256-v			
derrumbamos		derrumbamos	uniword	VERB		None				None					
derrumbo	derrumbar, derrumbar(se)	derrumbo	uniword	NOUN	33	u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])	derrumbar-01656458-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/derrumbarse-01972570-v			u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n'])		derrumbarse-02041877-v	fall apart: ajar, ajarse, arruinar, colapsar, derribarse, derrumbarse, desmigajarse, desmoronar, desmoronarse, desplomar, romperse, venirse abajo		
desahogarte	desahogar(se), desahogo	desahogar	uniword	VERB	30	None	desahogo-03303965-n	an opening that permits escape or release: desahogo, salida		None	whole.n.02, opening.n.10, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01	desahogo-07493280-n	the feeling that comes when something burdensome is removed or reduced: alivio, desahogo, descanso, respiro, sosiego, tranquilidad		
desahogo	desahogar(se), desahogo	desahogo	uniword	NOUN	30	u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])	desahogo-03303965-n	an opening that permits escape or release: desahogo, salida		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])	whole.n.02, opening.n.10, object.n.01, physical_entity.n.01, entity.n.01, artifact.n.01	desahogo-07493280-n	the feeling that comes when something burdensome is removed or reduced: alivio, desahogo, descanso, respiro, sosiego, tranquilidad		
desalentadoras	noticia desalentadora	desalentador	uniword	ADJ	53	None	aliento-14841770-n			None	entity.n.01, air.n.01, fluid.n.02, physical_entity.n.01, gas.n.02, matter.n.03	desalentador-00364881-a			
desanime		desanime	uniword	ADV		None				None					
desaparecer;desapareciendo;desaparece;desaparecieron;desaparecía;desapareció		desaparecer	uniword	VERB	11	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	desaparecer-02156844-v	go away or disappear: desaparecer		None	end.v.01, vanish.v.02			u.c.StringArray(elements=['dejar de existir. (rae)'])	
desaparecido		desaparecido	uniword	ADJ		None	desaparici%C3%B3n-00053609-n			None	act.n.02, event.n.01, departure.n.01, psychological_feature.n.01, abstraction.n.06, entity.n.01	remitir-00268314-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desaparecer-00267681-v			
desaparición		desaparición	uniword	NOUN		u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])				None					
desarrollar		desarrollar	uniword	VERB		None				None					
desarrollo	desarrollar medicamentos, desarrollar un cáncer, desarrollar defensas 	desarrollo	uniword	NOUN		None				None					
descalabros	siento que, tan joven, te toque pasar por estos "descalabros" que la vida nos prepara!	descalabro	uniword	NOUN	2	None	descalabro-07318299-n			None	entity.n.01, failure.n.02, event.n.01, psychological_feature.n.01, abstraction.n.06, happening.n.01				
descalabros		descalabros	uniword	NOUN	81	None	descalabro-07318299-n	a complete or conspicuous failure: caída abrupta, descalabro		None	entity.n.01, failure.n.02, event.n.01, psychological_feature.n.01, abstraction.n.06, happening.n.01	descalabro-07475870-n	an unfortunate happening that hinders or impedes; something that is thwarting or frustrating: adversidad, contratiempo, descalabro, percance, revés, tropiezo		
descansando;descansar		descansar	uniword	VERB	26	None	descansar-00014405-v	be at rest: descansar, dormir, reposar		None	lie.v.02, recumb.v.01	descansar-01548072-v	lie when dead: descansar, reposar		
descargar		descargar	uniword	VERB	30	None	descargar-00448680-v	become empty or void of its content: desalojar, descargar, descargarse, desocupar, vaciar		None	change_state.v.01, change.v.02	descargar-01815471-v	discharge bad feelings or tension through verbalization: descargar		
descartó;descartan;descartar;descartamos		descartar	uniword	VERB	61	None	descarte-00091503-n			None	act.n.02, abstraction.n.06, event.n.01, psychological_feature.n.01, abandonment.n.03, disposal.n.03, entity.n.01	descartar-00685419-v			
desconectar		desconectar	uniword	VERB	30	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	desconectar-01356038-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/desconectar-01510576-v			None		relajar-00025985-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/relajarse-00082308-v			
